source,actuations,published_cost,feasible,prune_reason,hour_failed,reevaluated_cost,periodic_switch_counts
Cimorelli2020,1,3634.67,False,ACTUATIONS,24,0.0,4/0/0
Cimorelli2020,2,3580.11,False,ACTUATIONS,24,0.0,6/0/0
Cimorelli2020,3,3575.54,False,ACTUATIONS,24,0.0,8/0/0
Costa2016,1,3916.98,True,NONE,,3916.9839049600055,2/2/2
Costa2016,2,3618.59,True,NONE,,3618.595780163883,4/4/4
Costa2016,3,3578.67,True,NONE,,3578.6717566591865,6/6/4
Paola2025,1,3911.52,True,NONE,,3911.4825435681696,2/2/2
Paola2025,2,3606.22,False,TANK_SATURATION,21,3325.8453105067665,4/4/2
Paola2025,3,3577.4,False,TANK_SATURATION,21,3325.1120960017665,6/6/4
Souza2026,1,3900.2474978417204,True,NONE,,3900.2474978416194,2/2/2
Souza2026,2,3606.828628872831,True,NONE,,3606.8286288728636,4/4/4
Souza2026,3,3575.5380640403023,True,NONE,,3575.5380640403705,6/6/6
