NA_max,criterion,count,percentage,nodes_total
1,Actuation,130404,52.64700538969297,247695
1,Cost bound,10932,4.41349239992733,247695
1,Tank levels,19304,7.793455661196229,247695
1,Pressure,3826,1.5446415955106079,247695
1,Total pruned,164491,66.40868810432185,247695
1,Feasible,83204,33.59131189567815,247695
2,Actuation,10255792,44.27165562860162,23165594
2,Cost bound,3008403,12.98651353382089,23165594
2,Tank levels,2163735,9.340295785206285,23165594
2,Pressure,614297,2.6517645090387063,23165594
2,Total pruned,16042350,69.2507604165039,23165594
2,Feasible,7123244,30.74923958349611,23165594
3,Actuation,95731917,27.286511889694857,350839702
3,Cost bound,77960111,22.221005933929337,350839702
3,Tank levels,41474791,11.821578562394286,350839702
3,Pressure,16463936,4.692723174186256,350839702
3,Total pruned,231632070,66.02219437525346,350839702
3,Feasible,119207632,33.97780562474654,350839702
