nohup: ignoring input
╭────────────────────────────────── Settings ──────────────────────────────────╮
│                                                                              │
│ EPANET-BB Parameter Optimizer                                                │
│ Optimizing Branch-and-Bound pump scheduling performance                      │
│                                                                              │
│ Configuration:                                                               │
│ • Simulation Hours (H): 16                                                   │
│ • Max Actuations (A): 2                                                      │
│ • Binary: ./build/run-epanet3-bb                                             │
│ • Initial Timeout: 120s                                                      │
│ • Multiplier: 1.1x                                                           │
│ • NP Choices: 8, 16, 32, 64, 128                                             │
│ • Level Range: 8-10                                                          │
│ • Sync Intervals: 1024, 2048, 4096, 8192, 16384, 32768, 65536                │
│ • Total Configs: 105 (exhaustive search)                                     │
│                                                                              │
╰──────────────────────────────────────────────────────────────────────────────╯
╭────────┬──────┬────────┬────────┬──────────┬───────────┬───────────┬─────────╮
│ Trial  │   NP │  Level │   Sync │  Timeout │  Duration │      Cost │ Status  │
├────────┼──────┼────────┼────────┼──────────┼───────────┼───────────┼─────────┤
│   0    │   64 │      8 │  32768 │   120.0s │    46.06s │ 223056.10 │ Done    │
│   1    │   64 │      9 │  32768 │    50.7s │    31.47s │ 223056.10 │ Done    │
│   2    │    8 │      8 │   4096 │    34.6s │    34.62s │       ... │ Timeout │
│   3    │   64 │      9 │  65536 │    34.6s │    28.61s │ 223056.10 │ Done    │
│   4    │   32 │     10 │   2048 │    31.5s │    31.47s │       ... │ Timeout │
│   5    │   16 │      9 │  65536 │    31.5s │    31.47s │       ... │ Timeout │
│   6    │   32 │      8 │   4096 │    31.5s │    31.47s │       ... │ Timeout │
│   7    │  128 │     10 │   4096 │    31.5s │    31.47s │       ... │ Timeout │
│   8    │   64 │      9 │   1024 │    31.5s │    28.39s │ 223056.10 │ Done    │
│   9    │   16 │      9 │   8192 │    31.2s │    31.23s │       ... │ Timeout │
│   10   │  128 │      9 │   8192 │    31.2s │    24.33s │ 223056.10 │ Done    │
│   11   │   64 │     10 │  65536 │    26.8s │    26.77s │       ... │ Timeout │
│   12   │   32 │      9 │   4096 │    26.8s │    26.77s │       ... │ Timeout │
│   13   │   16 │      8 │  65536 │    26.8s │    26.77s │       ... │ Timeout │
│   14   │   16 │      8 │   1024 │    26.8s │    26.77s │       ... │ Timeout │
│   15   │  128 │      8 │   4096 │    26.8s │    23.69s │ 223056.10 │ Done    │
│   16   │   64 │      8 │   2048 │    26.1s │    26.06s │       ... │ Timeout │
│   17   │   64 │      8 │   8192 │    26.1s │    26.06s │       ... │ Timeout │
│   18   │  128 │      8 │  32768 │    26.1s │    18.01s │ 223056.10 │ Done    │
│   19   │   16 │      8 │   2048 │    19.8s │    19.81s │       ... │ Timeout │
│   20   │   16 │      9 │   2048 │    19.8s │    19.81s │       ... │ Timeout │
│   21   │  128 │      9 │  32768 │    19.8s │    19.81s │       ... │ Timeout │
│   22   │    8 │      8 │   8192 │    19.8s │    19.82s │       ... │ Timeout │
│   23   │    8 │     10 │  16384 │    19.8s │    19.81s │       ... │ Timeout │
│   24   │   16 │     10 │  32768 │    19.8s │    19.81s │       ... │ Timeout │
│   25   │    8 │     10 │  32768 │    19.8s │    19.81s │       ... │ Timeout │
│   26   │    8 │      8 │  65536 │    19.8s │    19.81s │       ... │ Timeout │
│   27   │   32 │     10 │   4096 │    19.8s │    19.81s │       ... │ Timeout │
│   28   │   32 │     10 │   1024 │    19.8s │    19.81s │       ... │ Timeout │
│   29   │   16 │     10 │   4096 │    19.8s │    19.81s │       ... │ Timeout │
│   30   │  128 │      9 │   1024 │    19.8s │    19.82s │       ... │ Timeout │
│   31   │  128 │     10 │   1024 │    19.8s │    19.82s │       ... │ Timeout │
│   32   │   64 │     10 │   1024 │    19.8s │    19.83s │       ... │ Timeout │
│   33   │    8 │     10 │   2048 │    19.8s │    19.82s │       ... │ Timeout │
│   34   │   32 │      9 │  16384 │    19.8s │    19.82s │       ... │ Timeout │
│   35   │   64 │      8 │  65536 │    19.8s │    19.83s │       ... │ Timeout │
│   36   │   32 │      8 │  16384 │    19.8s │    19.83s │       ... │ Timeout │
│   37   │   64 │      9 │   8192 │    19.8s │    19.84s │       ... │ Timeout │
│   38   │   32 │     10 │  65536 │    19.8s │    19.84s │       ... │ Timeout │
│   39   │   64 │      9 │  16384 │    19.8s │    19.82s │       ... │ Timeout │
│   40   │   64 │     10 │   8192 │    19.8s │    19.82s │       ... │ Timeout │
│   41   │  128 │     10 │  65536 │    19.8s │    19.83s │       ... │ Timeout │
│   42   │    8 │      8 │   2048 │    19.8s │    19.82s │       ... │ Timeout │
│   43   │    8 │     10 │  65536 │    19.8s │    19.82s │       ... │ Timeout │
│   44   │   16 │      9 │   1024 │    19.8s │    19.82s │       ... │ Timeout │
│   45   │    8 │      9 │  65536 │    19.8s │    19.82s │       ... │ Timeout │
│   46   │    8 │      8 │  16384 │    19.8s │    19.81s │       ... │ Timeout │
│   47   │   32 │      8 │   2048 │    19.8s │    19.81s │       ... │ Timeout │
│   48   │   32 │      8 │   8192 │    19.8s │    19.81s │       ... │ Timeout │
│   49   │    8 │      9 │  32768 │    19.8s │    19.82s │       ... │ Timeout │
│   50   │    8 │      9 │   8192 │    19.8s │    19.82s │       ... │ Timeout │
│   51   │    8 │      8 │  32768 │    19.8s │    19.81s │       ... │ Timeout │
│   52   │   64 │     10 │  32768 │    19.8s │    19.81s │       ... │ Timeout │
│   53   │   32 │      9 │  32768 │    19.8s │    19.82s │       ... │ Timeout │
│   54   │    8 │      8 │   1024 │    19.8s │    19.82s │       ... │ Timeout │
│   55   │  128 │      8 │  65536 │    19.8s │    19.81s │       ... │ Timeout │
│   56   │  128 │      8 │   1024 │    19.8s │    19.82s │       ... │ Timeout │
│   57   │   32 │      9 │  65536 │    19.8s │    19.82s │       ... │ Timeout │
│   58   │   32 │      9 │   2048 │    19.8s │    19.81s │       ... │ Timeout │
│   59   │   16 │      8 │  16384 │    19.8s │    19.81s │       ... │ Timeout │
│   60   │    8 │      9 │   1024 │    19.8s │    19.81s │       ... │ Timeout │
│   61   │   64 │      8 │   4096 │    19.8s │    19.82s │       ... │ Timeout │
│   62   │   32 │      9 │   8192 │    19.8s │    19.82s │       ... │ Timeout │
│   63   │   16 │      8 │   8192 │    19.8s │    19.82s │       ... │ Timeout │
│   64   │  128 │      8 │   8192 │    19.8s │    19.82s │       ... │ Timeout │
│   65   │   16 │     10 │   2048 │    19.8s │    19.82s │       ... │ Timeout │
│   66   │   64 │      9 │   2048 │    19.8s │    19.81s │       ... │ Timeout │
│   67   │   16 │     10 │   8192 │    19.8s │    19.82s │       ... │ Timeout │
│   68   │   32 │     10 │  32768 │    19.8s │    19.82s │       ... │ Timeout │
│   69   │  128 │      8 │  16384 │    19.8s │    19.81s │       ... │ Timeout │
│   70   │   64 │     10 │   2048 │    19.8s │    19.82s │       ... │ Timeout │
│   71   │   32 │      8 │   1024 │    19.8s │    19.82s │       ... │ Timeout │
│   72   │    8 │     10 │   8192 │    19.8s │    19.82s │       ... │ Timeout │
│   73   │   32 │      8 │  32768 │    19.8s │    19.82s │       ... │ Timeout │
│   74   │  128 │      8 │   2048 │    19.8s │    19.82s │       ... │ Timeout │
│   75   │   32 │      9 │   1024 │    19.8s │    19.82s │       ... │ Timeout │
│   76   │  128 │     10 │  16384 │    19.8s │    19.82s │       ... │ Timeout │
│   77   │  128 │     10 │  32768 │    19.8s │    19.82s │       ... │ Timeout │
│   78   │  128 │      9 │  65536 │    19.8s │    19.82s │       ... │ Timeout │
│   79   │   32 │      8 │  65536 │    19.8s │    19.81s │       ... │ Timeout │
│   80   │  128 │     10 │   2048 │    19.8s │    19.83s │       ... │ Timeout │
│   81   │    8 │     10 │   4096 │    19.8s │    19.85s │       ... │ Timeout │
│   82   │   16 │     10 │   1024 │    19.8s │    19.82s │       ... │ Timeout │
│   83   │   64 │      8 │  16384 │    19.8s │    19.82s │       ... │ Timeout │
│   84   │    8 │      9 │   4096 │    19.8s │    19.82s │       ... │ Timeout │
│   85   │   16 │     10 │  16384 │    19.8s │    19.81s │       ... │ Timeout │
│   86   │   16 │      9 │  16384 │    19.8s │    19.81s │       ... │ Timeout │
│   87   │   64 │     10 │  16384 │    19.8s │    19.81s │       ... │ Timeout │
│   88   │    8 │      9 │  16384 │    19.8s │    19.82s │       ... │ Timeout │
│   89   │  128 │      9 │   4096 │    19.8s │    19.82s │       ... │ Timeout │
│   90   │   64 │      9 │   4096 │    19.8s │    19.82s │       ... │ Timeout │
│   91   │   16 │      8 │  32768 │    19.8s │    19.82s │       ... │ Timeout │
│   92   │   64 │     10 │   4096 │    19.8s │    19.82s │       ... │ Timeout │
│   93   │   32 │     10 │  16384 │    19.8s │    19.82s │       ... │ Timeout │
│   94   │    8 │     10 │   1024 │    19.8s │    19.82s │       ... │ Timeout │
│   95   │   32 │     10 │   8192 │    19.8s │    19.82s │       ... │ Timeout │
│   96   │    8 │      9 │   2048 │    19.8s │    19.81s │       ... │ Timeout │
│   97   │   64 │      8 │   1024 │    19.8s │    19.82s │       ... │ Timeout │
│   98   │   16 │     10 │  65536 │    19.8s │    19.82s │       ... │ Timeout │
│   99   │   16 │      8 │   4096 │    19.8s │    19.82s │       ... │ Timeout │
│  100   │  128 │     10 │   8192 │    19.8s │    19.82s │       ... │ Timeout │
│  101   │  128 │      9 │  16384 │    19.8s │    19.82s │       ... │ Timeout │
│  102   │  128 │      9 │   2048 │    19.8s │    19.83s │       ... │ Timeout │
│  103   │   16 │      9 │  32768 │    19.8s │    19.82s │       ... │ Timeout │
│  104   │   16 │      9 │   4096 │    19.8s │    19.82s │       ... │ Timeout │
╰────────┴──────┴────────┴────────┴──────────┴───────────┴───────────┴─────────╯

╭───────────────────────────── Global Best Result ─────────────────────────────╮
│ Optimization Complete!                                                       │
│ Best Trial: 18                                                               │
│ Best Value: 18.01s                                                           │
│ Best Params: {'np': 128, 'level': 8, 'sync_interval': 32768}                 │
╰──────────────────────────────────────────────────────────────────────────────╯
